post_id;is_featured;score;created_at_day;created_at_daytime;hunter_id;hunter_followers;hunter_has_twitter;hunter_has_website;maker_id;maker_followers;maker_has_twitter;maker_has_website
112580;1;442;2018-09-10;2017-11-03 03:02:00;2;52679;1;0;1069083;196;1;1
112580;1;442;2018-09-10;2017-11-03 03:02:00;2;52679;1;0;1069083;196;1;1
131680;1;271;2018-07-27;2018-07-27 01:00:00;2;52679;1;0;548;3644;1;1
131680;1;271;2018-07-27;2018-07-27 01:00:00;2;52679;1;0;548;3644;1;1
140887;1;358;2018-12-08;2018-12-08 04:00:00;2;52679;1;0;583176;898;1;1
140887;1;358;2018-12-08;2018-12-08 04:00:00;2;52679;1;0;583176;898;1;1
132489;1;265;2018-08-07;2018-08-07 04:36:04;20;4794;1;1;2441;379;1;1
132489;1;265;2018-08-07;2018-08-07 04:36:04;20;4794;1;1;2441;379;1;1
130934;1;403;2018-07-17;2018-07-17 00:30:00;23;39196;1;1;1231875;65;1;1
130934;1;403;2018-07-17;2018-07-17 00:30:00;23;39196;1;1;1231875;65;1;1
131976;1;458;2018-07-31;2018-07-31 00:55:00;23;39196;1;1;416772;475;1;0
131976;1;458;2018-07-31;2018-07-31 00:55:00;23;39196;1;1;416772;475;1;0
145147;1;1330;2019-02-18;2019-02-18 00:02:00;23;39196;1;1;1556901;4;0;0
145147;1;1330;2019-02-18;2019-02-18 00:02:00;23;39196;1;1;1556901;4;0;0
131563;1;54;2018-07-24;2018-07-24 07:01:04;58;8019;1;1;536925;68;0;1
131563;1;54;2018-07-24;2018-07-24 07:01:04;58;8019;1;1;536925;68;0;1
131825;1;1357;2018-08-01;2018-08-01 00:37:00;58;8019;1;1;1774;387;1;1
131825;1;1357;2018-08-01;2018-08-01 00:37:00;58;8019;1;1;1774;387;1;1
143739;1;240;2019-01-28;2019-01-28 07:36:33;60;692;1;1;61816;1620;1;1
143739;1;240;2019-01-28;2019-01-28 07:36:33;60;692;1;1;61816;1620;1;1
129846;1;54;2018-06-28;2018-06-28 03:47:44;79;6768;1;1;1285323;10;1;0
129846;1;54;2018-06-28;2018-06-28 03:47:44;79;6768;1;1;1285323;10;1;0
130134;1;171;2018-07-03;2018-07-03 03:07:34;79;6768;1;1;639287;26;1;1
130134;1;171;2018-07-03;2018-07-03 03:07:34;79;6768;1;1;639287;26;1;1
130453;1;297;2018-07-09;2018-07-09 00:06:01;79;6768;1;1;639224;71;1;1
130453;1;297;2018-07-09;2018-07-09 00:06:01;79;6768;1;1;639224;71;1;1
131327;1;70;2018-07-20;2018-07-20 02:57:16;79;6768;1;1;11983;119;1;1
131327;1;70;2018-07-20;2018-07-20 02:57:16;79;6768;1;1;11983;119;1;1
131727;1;986;2018-07-26;2018-07-26 05:38:48;79;6768;1;1;1363848;1;1;1
131727;1;986;2018-07-26;2018-07-26 05:38:48;79;6768;1;1;1363848;1;1;1
132112;1;103;2018-08-01;2018-08-01 01:34:48;79;6768;1;1;259588;51;1;1
132112;1;103;2018-08-01;2018-08-01 01:34:48;79;6768;1;1;259588;51;1;1
132556;1;457;2018-08-08;2018-08-08 00:45:06;79;6768;1;1;152313;165;1;1
132556;1;457;2018-08-08;2018-08-08 00:45:06;79;6768;1;1;152313;165;1;1
132633;1;67;2018-08-09;2018-08-09 01:30:34;79;6768;1;1;161254;282;1;1
132633;1;67;2018-08-09;2018-08-09 01:30:34;79;6768;1;1;161254;282;1;1
133106;1;444;2018-08-17;2018-08-17 01:54:05;79;6768;1;1;968291;2;1;0
133106;1;444;2018-08-17;2018-08-17 01:54:05;79;6768;1;1;968291;2;1;0
133341;1;123;2018-08-21;2018-08-21 04:04:39;79;6768;1;1;39520;100;1;1
133341;1;123;2018-08-21;2018-08-21 04:04:39;79;6768;1;1;39520;100;1;1
133427;1;426;2018-08-22;2018-08-22 01:07:36;79;6768;1;1;277256;168;1;1
133427;1;426;2018-08-22;2018-08-22 01:07:36;79;6768;1;1;277256;168;1;1
133844;1;40;2018-08-29;2018-08-29 03:08:20;79;6768;1;1;875930;9;1;0
133844;1;40;2018-08-29;2018-08-29 03:08:20;79;6768;1;1;875930;9;1;0
134026;1;34;2018-09-01;2018-09-01 03:31:55;79;6768;1;1;551110;29;0;0
134026;1;34;2018-09-01;2018-09-01 03:31:55;79;6768;1;1;551110;29;0;0
134356;0;30;2018-09-06;2018-09-06 03:08:38;79;6768;1;1;118011;323;1;0
134356;0;30;2018-09-06;2018-09-06 03:08:38;79;6768;1;1;118011;323;1;0
134428;1;69;2018-09-07;2018-09-07 01:29:15;79;6768;1;1;1285323;10;1;0
134428;1;69;2018-09-07;2018-09-07 01:29:15;79;6768;1;1;1285323;10;1;0
134537;1;465;2018-09-10;2018-09-10 01:19:09;79;6768;1;1;20953;265;1;1
134537;1;465;2018-09-10;2018-09-10 01:19:09;79;6768;1;1;20953;265;1;1
135411;1;404;2018-09-21;2018-09-21 00:26:04;79;6768;1;1;117078;17;1;1
135411;1;404;2018-09-21;2018-09-21 00:26:04;79;6768;1;1;117078;17;1;1
135962;1;486;2018-09-28;2018-09-28 05:01:33;79;6768;1;1;1363909;3;0;0
135962;1;486;2018-09-28;2018-09-28 05:01:33;79;6768;1;1;1363909;3;0;0
136052;1;365;2018-09-30;2018-09-30 06:45:24;79;6768;1;1;968291;2;1;0
136052;1;365;2018-09-30;2018-09-30 06:45:24;79;6768;1;1;968291;2;1;0
137033;1;686;2018-10-15;2018-10-15 02:40:26;79;6768;1;1;1463236;4;1;0
137033;1;686;2018-10-15;2018-10-15 02:40:26;79;6768;1;1;1463236;4;1;0
138413;1;232;2018-11-03;2018-11-03 03:59:29;79;6768;1;1;512044;5;1;0
138413;1;232;2018-11-03;2018-11-03 03:59:29;79;6768;1;1;512044;5;1;0
138673;1;339;2018-11-07;2018-11-07 03:47:31;79;6768;1;1;1020089;13;0;0
138673;1;339;2018-11-07;2018-11-07 03:47:31;79;6768;1;1;1020089;13;0;0
143345;1;391;2019-01-22;2019-01-22 00:44:34;79;6768;1;1;294949;64;1;0
143345;1;391;2019-01-22;2019-01-22 00:44:34;79;6768;1;1;294949;64;1;0
144071;1;398;2019-02-01;2019-02-01 03:08:49;79;6768;1;1;873440;117;1;0
144071;1;398;2019-02-01;2019-02-01 03:08:49;79;6768;1;1;873440;117;1;0
151223;1;622;2019-04-12;2019-04-12 00:31:03;79;6768;1;1;253580;140;1;1
151223;1;622;2019-04-12;2019-04-12 00:31:03;79;6768;1;1;253580;140;1;1
151294;1;258;2019-04-13;2019-04-13 01:19:16;79;6768;1;1;1783197;0;1;0
151294;1;258;2019-04-13;2019-04-13 01:19:16;79;6768;1;1;1783197;0;1;0
134104;1;287;2018-09-03;2018-09-03 00:30:53;187;1354;1;0;934197;71;0;0
134104;1;287;2018-09-03;2018-09-03 00:30:53;187;1354;1;0;934197;71;0;0
157679;1;813;2019-06-06;2019-06-06 00:00:00;187;1354;1;0;996772;11;1;1
157679;1;813;2019-06-06;2019-06-06 00:00:00;187;1354;1;0;996772;11;1;1
129779;1;123;2018-06-27;2018-06-27 07:05:37;270;517;1;1;1334777;2;1;0
129779;1;123;2018-06-27;2018-06-27 07:05:37;270;517;1;1;1334777;2;1;0
136043;1;152;2018-09-30;2018-09-30 01:31:07;341;6891;1;1;232863;528;1;0
136043;1;152;2018-09-30;2018-09-30 01:31:07;341;6891;1;1;232863;528;1;0
133021;1;48;2018-08-16;2018-08-16 00:42:34;364;1735;1;1;873980;42;0;0
133021;1;48;2018-08-16;2018-08-16 00:42:34;364;1735;1;1;873980;42;0;0
129668;0;4;2018-06-26;2018-06-26 00:54:00;471;508;1;1;1268;435;1;1
129668;0;4;2018-06-26;2018-06-26 00:54:00;471;508;1;1;1268;435;1;1
133000;1;46;2018-08-16;2018-08-16 00:00:00;582;633;1;1;1102736;358;1;1
133000;1;46;2018-08-16;2018-08-16 00:00:00;582;633;1;1;1102736;358;1;1
136843;1;919;2018-10-11;2018-10-11 03:57:53;655;1971;1;1;526;1484;1;1
136843;1;919;2018-10-11;2018-10-11 03:57:53;655;1971;1;1;526;1484;1;1
130061;0;9;2018-07-02;2018-07-02 07:34:14;687;1872;1;1;96939;11484;1;1
130061;0;9;2018-07-02;2018-07-02 07:34:14;687;1872;1;1;96939;11484;1;1
131470;1;21;2018-07-23;2018-07-23 04:39:18;687;1872;1;1;1360050;1;1;1
131470;1;21;2018-07-23;2018-07-23 04:39:18;687;1872;1;1;1360050;1;1;1
141626;1;273;2018-12-25;2018-12-25 00:00:00;687;1872;1;1;267980;178;1;1
141626;1;273;2018-12-25;2018-12-25 00:00:00;687;1872;1;1;267980;178;1;1
135215;1;51;2018-09-19;2018-09-19 00:00:50;827;7594;1;1;91219;408;1;1
135215;1;51;2018-09-19;2018-09-19 00:00:50;827;7594;1;1;91219;408;1;1
142460;1;466;2019-01-08;2019-01-08 01:11:57;827;7594;1;1;47774;299;1;0
142460;1;466;2019-01-08;2019-01-08 01:11:57;827;7594;1;1;47774;299;1;0
130696;1;51;2018-07-12;2018-07-12 06:00:00;833;3006;1;1;123094;136;1;1
130696;1;51;2018-07-12;2018-07-12 06:00:00;833;3006;1;1;123094;136;1;1
140006;1;182;2018-11-25;2018-11-25 09:31:32;842;3718;1;1;23956;51;1;1
140006;1;182;2018-11-25;2018-11-25 09:31:32;842;3718;1;1;23956;51;1;1
134728;1;25;2018-09-12;2018-09-12 07:37:43;851;1556;1;1;1425458;3;0;0
134728;1;25;2018-09-12;2018-09-12 07:37:43;851;1556;1;1;1425458;3;0;0
134936;1;99;2018-09-14;2018-09-15 00:00:00;851;1556;1;1;1427924;0;1;0
134936;1;99;2018-09-14;2018-09-15 00:00:00;851;1556;1;1;1427924;0;1;0
135570;1;677;2018-09-24;2018-09-25 00:01:00;851;1556;1;1;489416;270;1;1
135570;1;677;2018-09-24;2018-09-25 00:01:00;851;1556;1;1;489416;270;1;1
138894;1;133;2018-11-10;2018-11-10 04:30:00;862;2861;1;1;180469;251;1;1
138894;1;133;2018-11-10;2018-11-10 04:30:00;862;2861;1;1;180469;251;1;1
136022;1;382;2018-10-01;2018-10-01 00:00:00;946;9933;1;1;477852;73;0;1
136022;1;382;2018-10-01;2018-10-01 00:00:00;946;9933;1;1;477852;73;0;1
132952;1;218;2018-08-15;2018-08-15 00:00:04;962;5680;1;1;294949;64;1;0
132952;1;218;2018-08-15;2018-08-15 00:00:04;962;5680;1;1;294949;64;1;0
133038;1;345;2018-08-16;2018-08-16 03:03:58;962;5680;1;1;1389348;29;0;0
133038;1;345;2018-08-16;2018-08-16 03:03:58;962;5680;1;1;1389348;29;0;0
134208;1;25;2018-09-04;2018-09-04 09:27:32;962;5680;1;1;502989;6;1;0
134208;1;25;2018-09-04;2018-09-04 09:27:32;962;5680;1;1;502989;6;1;0
134526;1;81;2018-09-10;2018-09-10 00:02:45;962;5680;1;1;881759;74;1;0
134526;1;81;2018-09-10;2018-09-10 00:02:45;962;5680;1;1;881759;74;1;0
136342;1;159;2018-10-04;2018-10-04 00:14:35;962;5680;1;1;298250;21;1;0
136342;1;159;2018-10-04;2018-10-04 00:14:35;962;5680;1;1;298250;21;1;0
139627;1;802;2018-11-20;2018-11-20 00:00:19;962;5680;1;1;294949;64;1;0
139627;1;802;2018-11-20;2018-11-20 00:00:19;962;5680;1;1;294949;64;1;0
135563;1;65;2018-09-25;2018-09-25 00:05:00;1195;311;1;1;1196;124;1;0
135563;1;65;2018-09-25;2018-09-25 00:05:00;1195;311;1;1;1196;124;1;0
132641;1;110;2018-08-09;2018-08-09 03:06:51;1257;3835;1;1;300201;236;1;1
132641;1;110;2018-08-09;2018-08-09 03:06:51;1257;3835;1;1;300201;236;1;1
137978;0;8;2018-10-28;2018-10-28 10:37:19;1284;105;1;1;519986;74;0;0
137978;0;8;2018-10-28;2018-10-28 10:37:19;1284;105;1;1;519986;74;0;0
131833;1;84;2018-07-30;2018-07-30 00:01:00;1368;5119;1;0;953641;65;0;0
131833;1;84;2018-07-30;2018-07-30 00:01:00;1368;5119;1;0;953641;65;0;0
141018;1;684;2018-12-18;2018-12-18 00:00:00;1368;5119;1;0;818799;149;1;1
141018;1;684;2018-12-18;2018-12-18 00:00:00;1368;5119;1;0;818799;149;1;1
134157;1;85;2018-09-04;2018-09-04 00:52:46;1565;1903;1;1;1402741;5;1;0
134157;1;85;2018-09-04;2018-09-04 00:52:46;1565;1903;1;1;1402741;5;1;0
135037;1;89;2018-09-17;2018-09-17 00:53:16;1565;1903;1;1;1158453;2;1;1
135037;1;89;2018-09-17;2018-09-17 00:53:16;1565;1903;1;1;1158453;2;1;1
131061;1;752;2018-07-17;2018-07-17 00:02:41;1880;4720;1;1;3248;801;1;1
131061;1;752;2018-07-17;2018-07-17 00:02:41;1880;4720;1;1;3248;801;1;1
135481;1;64;2018-09-23;2018-09-23 00:01:48;1880;4720;1;1;279049;31;1;1
135481;1;64;2018-09-23;2018-09-23 00:01:48;1880;4720;1;1;279049;31;1;1
136548;1;1804;2018-10-08;2018-10-08 00:37:26;1880;4720;1;1;39911;24668;1;1
136548;1;1804;2018-10-08;2018-10-08 00:37:26;1880;4720;1;1;39911;24668;1;1
138739;1;1202;2018-11-08;2018-11-08 00:02:19;1880;4720;1;1;3248;801;1;1
138739;1;1202;2018-11-08;2018-11-08 00:02:19;1880;4720;1;1;3248;801;1;1
140100;1;774;2018-11-27;2018-11-27 00:03:49;1880;4720;1;1;14870;229;1;1
140100;1;774;2018-11-27;2018-11-27 00:03:49;1880;4720;1;1;14870;229;1;1
140945;1;397;2018-12-09;2018-12-09 00:03:49;1880;4720;1;1;25567;382;1;1
140945;1;397;2018-12-09;2018-12-09 00:03:49;1880;4720;1;1;25567;382;1;1
151677;1;1263;2019-04-17;2019-04-17 01:03:03;1880;4720;1;1;39911;24668;1;1
151677;1;1263;2019-04-17;2019-04-17 01:03:03;1880;4720;1;1;39911;24668;1;1
136440;1;126;2018-10-05;2018-10-05 04:24:16;2081;9091;1;1;492001;118;1;1
136440;1;126;2018-10-05;2018-10-05 04:24:16;2081;9091;1;1;492001;118;1;1
142915;1;750;2019-01-15;2019-01-15 02:13:53;2081;9091;1;1;1324260;14;1;1
142915;1;750;2019-01-15;2019-01-15 02:13:53;2081;9091;1;1;1324260;14;1;1
155100;1;411;2019-05-13;2019-05-13 05:28:54;2081;9091;1;1;445674;36;1;1
155100;1;411;2019-05-13;2019-05-13 05:28:54;2081;9091;1;1;445674;36;1;1
139611;1;1469;2018-11-20;2018-11-20 00:00:00;2287;12088;1;1;383460;222;1;0
139611;1;1469;2018-11-20;2018-11-20 00:00:00;2287;12088;1;1;383460;222;1;0
153575;1;491;2019-05-08;2019-05-08 00:00:00;2287;12088;1;1;1726206;15;1;0
153575;1;491;2019-05-08;2019-05-08 00:00:00;2287;12088;1;1;1726206;15;1;0
131311;1;70;2018-07-20;2018-07-20 00:00:43;2381;426;1;1;5063;42;1;0
131311;1;70;2018-07-20;2018-07-20 00:00:43;2381;426;1;1;5063;42;1;0
131715;1;318;2018-07-26;2018-07-26 04:19:50;2425;354;1;1;293395;305;1;1
131715;1;318;2018-07-26;2018-07-26 04:19:50;2425;354;1;1;293395;305;1;1
131360;1;87;2018-07-20;2018-07-21 00:00:38;2480;523;1;1;1357261;2;1;0
131360;1;87;2018-07-20;2018-07-21 00:00:38;2480;523;1;1;1357261;2;1;0
138877;1;61;2018-11-10;2018-11-10 00:00:00;2480;523;1;1;1357261;2;1;0
138877;1;61;2018-11-10;2018-11-10 00:00:00;2480;523;1;1;1357261;2;1;0
131044;1;34;2018-07-17;2018-07-17 00:01:00;2514;1187;1;1;371672;175;1;1
131044;1;34;2018-07-17;2018-07-17 00:01:00;2514;1187;1;1;371672;175;1;1
131218;1;31;2018-07-19;2018-07-19 00:01:00;2514;1187;1;1;639537;85;1;0
131218;1;31;2018-07-19;2018-07-19 00:01:00;2514;1187;1;1;639537;85;1;0
132925;1;30;2018-08-14;2018-08-15 00:00:00;2596;162;1;1;93946;322;1;1
132925;1;30;2018-08-14;2018-08-15 00:00:00;2596;162;1;1;93946;322;1;1
130068;1;44;2018-07-02;2018-07-02 09:37:39;2626;2389;1;1;973045;19;1;1
130068;1;44;2018-07-02;2018-07-02 09:37:39;2626;2389;1;1;973045;19;1;1
131273;0;54;2018-07-19;2018-07-19 07:48:27;2872;230;1;1;340833;15;1;1
131273;0;54;2018-07-19;2018-07-19 07:48:27;2872;230;1;1;340833;15;1;1
129791;1;260;2018-06-28;2018-06-28 00:00:00;3591;817;1;1;88447;605;1;1
129791;1;260;2018-06-28;2018-06-28 00:00:00;3591;817;1;1;88447;605;1;1
133128;1;33;2018-08-17;2018-08-17 08:04:24;3619;697;1;1;1355582;0;0;1
133128;1;33;2018-08-17;2018-08-17 08:04:24;3619;697;1;1;1355582;0;0;1
129919;1;249;2018-06-29;2018-06-29 02:58:38;3687;451;1;1;148688;29;1;1
129919;1;249;2018-06-29;2018-06-29 02:58:38;3687;451;1;1;148688;29;1;1
131700;0;25;2018-07-26;2018-07-26 00:16:38;4152;1401;1;1;1177624;64;1;1
131700;0;25;2018-07-26;2018-07-26 00:16:38;4152;1401;1;1;1177624;64;1;1
156667;1;637;2019-05-28;2019-05-28 00:14:00;4152;1401;1;1;1762039;11;1;0
156667;1;637;2019-05-28;2019-05-28 00:14:00;4152;1401;1;1;1762039;11;1;0
128204;1;128;2018-10-05;2018-10-05 00:01:00;4223;580;1;1;78526;173;1;0
128204;1;128;2018-10-05;2018-10-05 00:01:00;4223;580;1;1;78526;173;1;0
133193;1;415;2018-08-20;2018-08-20 00:10:00;4248;5168;1;1;1394191;9;1;1
133193;1;415;2018-08-20;2018-08-20 00:10:00;4248;5168;1;1;1394191;9;1;1
132290;1;65;2018-08-04;2018-08-04 00:00:00;4316;815;1;1;125082;8;1;1
132290;1;65;2018-08-04;2018-08-04 00:00:00;4316;815;1;1;125082;8;1;1
135952;0;6;2018-09-28;2018-09-28 02:02:04;4324;1441;1;1;63535;52;1;1
135952;0;6;2018-09-28;2018-09-28 02:02:04;4324;1441;1;1;63535;52;1;1
132685;1;325;2018-08-14;2018-08-14 00:01:00;4518;206;1;1;616237;981;1;1
132685;1;325;2018-08-14;2018-08-14 00:01:00;4518;206;1;1;616237;981;1;1
157127;1;602;2019-06-01;2019-06-01 00:00:00;4823;874;1;1;777048;23;0;0
157127;1;602;2019-06-01;2019-06-01 00:00:00;4823;874;1;1;777048;23;0;0
135569;0;2;2018-09-24;2018-09-24 12:57:35;4875;47;1;0;456142;1737;1;1
135569;0;2;2018-09-24;2018-09-24 12:57:35;4875;47;1;0;456142;1737;1;1
130544;1;207;2018-07-10;2018-07-10 02:52:00;5121;593;1;1;1304853;3;1;1
130544;1;207;2018-07-10;2018-07-10 02:52:00;5121;593;1;1;1304853;3;1;1
143228;1;565;2019-01-22;2019-01-22 01:00:00;5349;1737;1;1;1621166;8;1;1
143228;1;565;2019-01-22;2019-01-22 01:00:00;5349;1737;1;1;1621166;8;1;1
151876;1;368;2019-04-23;2019-04-23 02:00:00;5349;1737;1;1;1793418;1;0;0
151876;1;368;2019-04-23;2019-04-23 02:00:00;5349;1737;1;1;1793418;1;0;0
133019;1;171;2018-08-16;2018-08-16 00:34:13;5537;861;1;1;1379355;38;1;1
133019;1;171;2018-08-16;2018-08-16 00:34:13;5537;861;1;1;1379355;38;1;1
122220;1;2957;2018-08-13;2018-03-14 00:01:00;6674;117;1;1;187596;16;1;1
122220;1;2957;2018-08-13;2018-03-14 00:01:00;6674;117;1;1;187596;16;1;1
136757;1;2139;2018-10-10;2018-10-10 06:56:26;6732;608;1;1;110213;283;1;1
136757;1;2139;2018-10-10;2018-10-10 06:56:26;6732;608;1;1;110213;283;1;1
130355;1;73;2018-07-06;2018-07-06 05:28:45;7071;856;1;1;1016159;25;1;0
130355;1;73;2018-07-06;2018-07-06 05:28:45;7071;856;1;1;1016159;25;1;0
130276;1;41;2018-07-05;2018-07-05 02:03:53;7293;3807;1;1;550080;55;1;1
130276;1;41;2018-07-05;2018-07-05 02:03:53;7293;3807;1;1;550080;55;1;1
132470;1;585;2018-08-07;2018-08-07 00:28:36;7293;3807;1;1;35368;93;1;0
132470;1;585;2018-08-07;2018-08-07 00:28:36;7293;3807;1;1;35368;93;1;0
135750;1;517;2018-09-26;2018-09-26 03:56:56;7293;3807;1;1;1587;1084;1;1
135750;1;517;2018-09-26;2018-09-26 03:56:56;7293;3807;1;1;1587;1084;1;1
131824;0;757;2018-07-27;2018-07-27 09:25:44;7637;45;1;1;1359160;29;0;0
131824;0;757;2018-07-27;2018-07-27 09:25:44;7637;45;1;1;1359160;29;0;0
133727;1;49;2018-08-27;2018-08-28 00:00:00;7637;45;1;1;1401561;6;0;0
133727;1;49;2018-08-27;2018-08-28 00:00:00;7637;45;1;1;1401561;6;0;0
137606;1;781;2018-10-23;2018-10-23 00:09:26;7857;803;1;1;46949;307;1;1
137606;1;781;2018-10-23;2018-10-23 00:09:26;7857;803;1;1;46949;307;1;1
141708;1;142;2018-12-22;2018-12-22 00:00:00;7911;8073;1;1;496556;15;1;1
141708;1;142;2018-12-22;2018-12-22 00:00:00;7911;8073;1;1;496556;15;1;1
130044;1;93;2018-07-02;2018-07-02 06:48:01;8171;716;1;1;150891;1105;1;1
